# Time,Mouse_x,Mouse_y,Target_x,Target_y
1.224130000000000000e+05,5.400000000000000000e+02,2.500000000000000000e+02,4.370000000000000000e+02,6.820000000000000000e+02
1.224180000000000000e+05,5.400000000000000000e+02,2.500000000000000000e+02,4.370000000000000000e+02,6.820000000000000000e+02
1.224230000000000000e+05,5.400000000000000000e+02,2.500000000000000000e+02,4.370000000000000000e+02,6.820000000000000000e+02
1.224280000000000000e+05,5.400000000000000000e+02,2.500000000000000000e+02,4.370000000000000000e+02,6.820000000000000000e+02
1.224340000000000000e+05,5.400000000000000000e+02,2.500000000000000000e+02,4.370000000000000000e+02,6.820000000000000000e+02
1.224380000000000000e+05,5.400000000000000000e+02,2.500000000000000000e+02,4.370000000000000000e+02,6.820000000000000000e+02
1.224430000000000000e+05,5.400000000000000000e+02,2.500000000000000000e+02,4.370000000000000000e+02,6.820000000000000000e+02
1.224490000000000000e+05,5.400000000000000000e+02,2.500000000000000000e+02,4.370000000000000000e+02,6.820000000000000000e+02
1.224550000000000000e+05,5.400000000000000000e+02,2.500000000000000000e+02,4.370000000000000000e+02,6.820000000000000000e+02
1.224600000000000000e+05,5.400000000000000000e+02,2.500000000000000000e+02,4.370000000000000000e+02,6.820000000000000000e+02
1.224660000000000000e+05,5.400000000000000000e+02,2.500000000000000000e+02,4.370000000000000000e+02,6.820000000000000000e+02
1.224710000000000000e+05,5.400000000000000000e+02,2.500000000000000000e+02,4.370000000000000000e+02,6.820000000000000000e+02
1.224760000000000000e+05,5.400000000000000000e+02,2.500000000000000000e+02,4.370000000000000000e+02,6.820000000000000000e+02
1.224810000000000000e+05,5.400000000000000000e+02,2.500000000000000000e+02,4.370000000000000000e+02,6.820000000000000000e+02
1.224870000000000000e+05,5.400000000000000000e+02,2.500000000000000000e+02,4.370000000000000000e+02,6.820000000000000000e+02
1.224920000000000000e+05,5.400000000000000000e+02,2.500000000000000000e+02,4.370000000000000000e+02,6.820000000000000000e+02
1.224980000000000000e+05,5.400000000000000000e+02,2.500000000000000000e+02,4.370000000000000000e+02,6.820000000000000000e+02
1.225030000000000000e+05,5.400000000000000000e+02,2.500000000000000000e+02,4.370000000000000000e+02,6.820000000000000000e+02
1.225080000000000000e+05,5.400000000000000000e+02,2.500000000000000000e+02,4.370000000000000000e+02,6.820000000000000000e+02
1.225130000000000000e+05,5.400000000000000000e+02,2.500000000000000000e+02,4.370000000000000000e+02,6.820000000000000000e+02
1.225180000000000000e+05,5.400000000000000000e+02,2.500000000000000000e+02,4.370000000000000000e+02,6.820000000000000000e+02
1.225240000000000000e+05,5.400000000000000000e+02,2.500000000000000000e+02,4.370000000000000000e+02,6.820000000000000000e+02
1.225290000000000000e+05,5.400000000000000000e+02,2.500000000000000000e+02,4.370000000000000000e+02,6.820000000000000000e+02
1.225350000000000000e+05,5.400000000000000000e+02,2.500000000000000000e+02,4.370000000000000000e+02,6.820000000000000000e+02
1.225390000000000000e+05,5.400000000000000000e+02,2.500000000000000000e+02,4.370000000000000000e+02,6.820000000000000000e+02
1.225450000000000000e+05,5.400000000000000000e+02,2.500000000000000000e+02,4.370000000000000000e+02,6.820000000000000000e+02
